object_id,treatment,url
hot-001,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-01.bin
hot-002,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-02.bin
hot-003,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-03.bin
hot-004,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-04.bin
hot-005,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-05.bin
hot-006,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-06.bin
hot-007,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-07.bin
hot-008,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-08.bin
hot-009,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-09.bin
hot-010,hot,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-hot-10.bin
cold-001,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-01.bin
cold-002,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-02.bin
cold-003,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-03.bin
cold-004,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-04.bin
cold-005,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-05.bin
cold-006,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-06.bin
cold-007,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-07.bin
cold-008,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-08.bin
cold-009,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-09.bin
cold-010,cold,http://jumpserve-cache-study-20260827-01.global.ssl.fastly.net.global.prod.fastly.net/object/fastly-vpn-20260827t170914z-lax-cold-10.bin
